PERMNO,DelistingDt,DelDtPrc,DelDtPrcFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,DelPERMNO,DelPERMCO,DelRet,DelRetMissType,DelNextDt,DelNextPrc,DelNextPrcFlg,DelAmtDt,DelDivAmt,DelDisType,DelDlyDt,PrimaryExch,SICCD,NASDIssuno
18942,2021-12-15,25.195000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000657,NA,,,DA,2021-12-16,25.211550,D1,2021-12-16,Q,6726,79536
18943,2022-12-15,25.230000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000532,NA,,,DA,2022-12-16,25.243420,D1,2022-12-16,Q,6726,79535
18944,2023-12-15,25.050000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.002459,NA,,,DA,2023-12-18,25.111590,D1,2023-12-18,Q,6726,79534
18945,2024-12-13,24.880000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000181,NA,,,DA,2024-12-16,24.884500,D1,2024-12-16,Q,6726,79533
18959,2024-02-16,5.160000,TR,GLI,FPAY,UNAV,UNAV,0,0,0.000291,NA,,,DA,2024-02-20,5.161500,D1,2024-02-20,Q,6726,80717
18960,2023-06-07,1.100000,TR,MER,FPAY,UNAV,CSHN,0,0,-0.172727,MV,,,DA,2023-06-08,0.000000,D2,2023-06-08,Q,9999,80742
18967,2022-03-10,27.340000,TR,MER,FPAY,UNAV,CST,22812,59201,0.005486,NA,,,DA,2022-03-11,27.490000,D2,2022-03-11,N,3556,0
18970,2023-11-10,27.045000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000620,NA,,,DA,2023-11-13,27.028240,D1,2023-11-13,Q,6726,80976
18974,2023-08-25,48.520000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000214,NA,,,DA,2023-08-28,48.509602,D2,2023-08-28,R,6726,0
18989,2021-07-30,25.515000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.002832,NA,,,DA,2021-08-02,25.442750,D1,2021-08-02,R,6726,0
18990,2020-10-23,22.315000,TR,GLI,FPAY,UNAV,UNAV,0,0,-0.000491,NA,,,DA,2020-10-26,22.304050,D1,2020-10-26,R,6726,0
18996,2024-05-20,0.333400,TR,GDR,VCL,FING,PRCF,0,0,-0.460108,NA,2024-05-21,0.180000,DP,2024-05-21,0.000000,NO,2024-05-21,Q,9999,80557
19005,2023-09-14,0.334300,TR,GDR,VCL,FING,PRCF,0,0,0.017051,NA,2023-09-15,0.340000,DP,2023-09-15,0.000000,NO,2023-09-15,Q,9999,80568
